Article date,Article title,Article slug,Article URL,Total content images,Images with any CSV record,Images in a provided CSV,Images confirmed uploaded to Pinterest,Images with no CSV record,CSV coverage status,Pinterest handoff / upload status,Latest scheduled dates,Batch file(s),Tracker updated
2026-08-14,Build a Vintage Collage From Five Paper Clues,vintage-collage-from-five-paper-clues,https://sentimentalica.com/blog/vintage-collage-from-five-paper-clues.html,2,0,0,0,2,Not started: no current article image has a CSV record,No CSV handoff recorded,,,2026-08-14
2026-08-14,A Velvet Vow Color Palette for Romantic Junk Journals,velvet-vow-romantic-junk-journal-color-palette,https://sentimentalica.com/blog/velvet-vow-romantic-junk-journal-color-palette.html,8,0,0,0,8,Not started: no current article image has a CSV record,No CSV handoff recorded,,,2026-08-14
2026-08-14,A Petal Mist Palette for Soft Floral Journaling,petal-mist-soft-floral-journal-color-palette,https://sentimentalica.com/blog/petal-mist-soft-floral-journal-color-palette.html,8,0,0,0,8,Not started: no current article image has a CSV record,No CSV handoff recorded,,,2026-08-14
2026-08-14,A Nectar Bloom Palette for Tropical Botanical Journals,nectar-bloom-tropical-botanical-journal-palette,https://sentimentalica.com/blog/nectar-bloom-tropical-botanical-journal-palette.html,8,0,0,0,8,Not started: no current article image has a CSV record,No CSV handoff recorded,,,2026-08-14
2026-08-14,12 Journal Prompts From One Photograph,journal-prompts-from-one-photograph,https://sentimentalica.com/blog/journal-prompts-from-one-photograph.html,2,0,0,0,2,Not started: no current article image has a CSV record,No CSV handoff recorded,,,2026-08-14
2026-08-14,A Gilded Blush Palette for Elegant Journal Pages,gilded-blush-elegant-journal-color-palette,https://sentimentalica.com/blog/gilded-blush-elegant-journal-color-palette.html,8,0,0,0,8,Not started: no current article image has a CSV record,No CSV handoff recorded,,,2026-08-14
2026-08-14,5 Gentle Ways to Repair a Torn Journal Page,gentle-ways-to-repair-a-torn-journal-page,https://sentimentalica.com/blog/gentle-ways-to-repair-a-torn-journal-page.html,2,0,0,0,2,Not started: no current article image has a CSV record,No CSV handoff recorded,,,2026-08-14
2026-08-14,A Foxglove Hollow Woodland Palette for Nature Journals,foxglove-hollow-woodland-journal-color-palette,https://sentimentalica.com/blog/foxglove-hollow-woodland-journal-color-palette.html,8,0,0,0,8,Not started: no current article image has a CSV record,No CSV handoff recorded,,,2026-08-14
2026-08-14,Your First Envelope Flip-Out for a Junk Journal,first-envelope-flip-out-for-a-junk-journal,https://sentimentalica.com/blog/first-envelope-flip-out-for-a-junk-journal.html,2,0,0,0,2,Not started: no current article image has a CSV record,No CSV handoff recorded,,,2026-08-14
2026-08-14,A Balanced Junk Journal Spread in Three Clusters,balanced-junk-journal-spread-in-three-clusters,https://sentimentalica.com/blog/balanced-junk-journal-spread-in-three-clusters.html,2,0,0,0,2,Not started: no current article image has a CSV record,No CSV handoff recorded,,,2026-08-14
2026-08-13,Spring Junk Journal Ideas From Rain and First Green,spring-junk-journal-ideas-from-rain-and-first-green,https://sentimentalica.com/blog/spring-junk-journal-ideas-from-rain-and-first-green.html,2,2,2,0,0,Complete: every current article image has a CSV record,CSV provided for every current image; Pinterest upload not confirmed,2026-08-18,UPLOAD_THIS_latest-11-articles_2026-08-18_to_2026-08-21.csv,2026-08-14
2026-08-13,A Spring Journal Pocket From One Garden Walk,spring-journal-pocket-from-one-garden-walk,https://sentimentalica.com/blog/spring-journal-pocket-from-one-garden-walk.html,2,2,2,0,0,Complete: every current article image has a CSV record,CSV provided for every current image; Pinterest upload not confirmed,2026-08-20,UPLOAD_THIS_latest-11-articles_2026-08-18_to_2026-08-21.csv,2026-08-14
2026-08-13,5 Paper Storage Mistakes That Hide Your Best Supplies,paper-storage-mistakes-that-hide-your-best-supplies,https://sentimentalica.com/blog/paper-storage-mistakes-that-hide-your-best-supplies.html,2,2,2,0,0,Complete: every current article image has a CSV record,CSV provided for every current image; Pinterest upload not confirmed,2026-08-19,UPLOAD_THIS_latest-11-articles_2026-08-18_to_2026-08-21.csv,2026-08-14
2026-08-13,5 Junk Journal Mistakes That Make Pages Harder to Use,junk-journal-mistakes-that-make-pages-harder-to-use,https://sentimentalica.com/blog/junk-journal-mistakes-that-make-pages-harder-to-use.html,2,2,2,0,0,Complete: every current article image has a CSV record,CSV provided for every current image; Pinterest upload not confirmed,2026-08-18,UPLOAD_THIS_latest-11-articles_2026-08-18_to_2026-08-21.csv,2026-08-14
2026-08-13,How to Turn Travel Tickets Into a Junk Journal Story,how-to-turn-travel-tickets-into-a-junk-journal-story,https://sentimentalica.com/blog/how-to-turn-travel-tickets-into-a-junk-journal-story.html,2,2,2,0,0,Complete: every current article image has a CSV record,CSV provided for every current image; Pinterest upload not confirmed,2026-08-13,UPLOAD_TODAY_five-seasonal-articles_2026-08-13.csv,2026-08-14
2026-08-13,How to Store Paper Scraps by the Way You Use Them,how-to-store-paper-scraps-by-the-way-you-use-them,https://sentimentalica.com/blog/how-to-store-paper-scraps-by-the-way-you-use-them.html,2,0,0,0,2,Not started: no current article image has a CSV record,No CSV handoff recorded,,,2026-08-14
2026-08-13,How to Press Flowers for Junk Journal Pages,how-to-press-flowers-for-junk-journal-pages,https://sentimentalica.com/blog/how-to-press-flowers-for-junk-journal-pages.html,2,0,0,0,2,Not started: no current article image has a CSV record,No CSV handoff recorded,,,2026-08-14
2026-08-13,How to Make a Thanksgiving Recipe Memory Journal,how-to-make-a-thanksgiving-recipe-memory-journal,https://sentimentalica.com/blog/how-to-make-a-thanksgiving-recipe-memory-journal.html,2,2,2,0,0,Complete: every current article image has a CSV record,CSV provided for every current image; Pinterest upload not confirmed,2026-08-13,UPLOAD_TODAY_five-seasonal-articles_2026-08-13.csv,2026-08-14
2026-08-13,How to Choose Vintage Wallpaper Without Making Your Phone Feel Busy,how-to-choose-vintage-wallpaper-without-making-your-phone-feel-busy,https://sentimentalica.com/blog/how-to-choose-vintage-wallpaper-without-making-your-phone-feel-busy.html,2,0,0,0,2,Not started: no current article image has a CSV record,No CSV handoff recorded,,,2026-08-14
2026-08-13,How to Choose Fantasy Wallpaper for Your Phone Layout,how-to-choose-fantasy-wallpaper-for-your-phone-layout,https://sentimentalica.com/blog/how-to-choose-fantasy-wallpaper-for-your-phone-layout.html,2,0,0,0,2,Not started: no current article image has a CSV record,No CSV handoff recorded,,,2026-08-14
