Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Save the Fixes: 10 Color Palette Mistakes,https://sentimentalica.com/blog/img/10-color-palette-mistakes/gen1.png,Color Palettes,,"Ten common palette mistakes can make a journal page feel muddy, flat or crowded. Save the illustrated fixes for choosing a neutral, dark anchor, supporting color and accent.",https://sentimentalica.com/blog/10-color-palette-mistakes.html#10-color-palette-mistakes-guide,2026-09-15,"color palette mistakes, junk journal colors, scrapbook color palette, color theory for beginners, journal page tips, vintage color palettes"
Explore the Mood: Calm Color Planning Corner,https://sentimentalica.com/blog/img/10-color-palette-mistakes/gen2.png,Vintage Color Palettes,,"A sunlit desk, tactile paper swatches and a quiet cream journal create a beautiful place to test colors before gluing. Open the article for ten practical palette fixes.",https://sentimentalica.com/blog/10-color-palette-mistakes.html#10-color-palette-mistakes-mood,2026-09-18,"color palette inspiration, vintage journal colors, paper swatches, craft room aesthetic, scrapbook color ideas, journal palette planning"
Start Here: Junk Journal for Beginners,https://sentimentalica.com/blog/img/how-to-start-a-junk-journal-for-beginners/gen1.png,Beginner Junk Journaling,,"Start a junk journal in seven simple steps using any notebook, five paper types, one focal piece and three honest lines. Save this complete beginner guide.",https://sentimentalica.com/blog/how-to-start-a-junk-journal-for-beginners.html#how-to-start-a-junk-journal-for-beginners-guide,2026-09-18,"junk journal for beginners, how to start junk journaling, beginner junk journal tutorial, junk journal supplies, first journal page, paper craft guide"
Get Inspired: Simple Beginner Craft Table,https://sentimentalica.com/blog/img/how-to-start-a-junk-journal-for-beginners/gen2.png,Junk Journal Ideas,,"A plain notebook, pencil, glue and a small basket of paper are enough to begin. Visit the tutorial for a reassuring seven-step approach to your first junk journal.",https://sentimentalica.com/blog/how-to-start-a-junk-journal-for-beginners.html#how-to-start-a-junk-journal-for-beginners-mood,2026-09-15,"beginner journal inspiration, simple craft table, junk journal ideas, easy paper crafts, creative workspace, starting a journal"
Try One Page: Junk Journal Ideas for Brain Fog,https://sentimentalica.com/blog/img/junk-journal-ideas-for-brain-fog/gen1.png,Creative Journal Prompts,,"Choose one color, glue one scrap, add the date or write five words. Save eight tiny junk journal ideas designed for brain fog and low-energy days.",https://sentimentalica.com/blog/junk-journal-ideas-for-brain-fog.html#junk-journal-ideas-for-brain-fog-guide,2026-09-15,"brain fog journal ideas, low energy crafts, creative journal prompts, ten minute journal, gentle journaling, easy junk journal page"
Explore the Calm: Low-Energy Journaling Morning,https://sentimentalica.com/blog/img/junk-journal-ideas-for-brain-fog/gen2.png,Junk Journal Ideas,,"A misty morning, warm tea and one small blank notebook create a low-pressure place to begin. Read the article for eight gentle brain-fog page ideas.",https://sentimentalica.com/blog/junk-journal-ideas-for-brain-fog.html#junk-journal-ideas-for-brain-fog-mood,2026-09-18,"cozy journaling morning, brain fog activities, gentle creative ideas, quiet journal aesthetic, low energy hobby, junk journal inspiration"
Try These Ideas: 9 Mood-Boosting Journal Ideas,https://sentimentalica.com/blog/img/mood-boosting-junk-journal-ideas/gen1.png,Creative Journal Prompts,,"Use a bright color, favorite photograph, comforting texture or one kind sentence to gently lift the emotional temperature of a page. Save all nine ideas.",https://sentimentalica.com/blog/mood-boosting-junk-journal-ideas.html#mood-boosting-junk-journal-ideas-guide,2026-09-16,"mood boosting journal ideas, happy journal prompts, creative self care, junk journal inspiration, gratitude journal page, colorful paper crafts"
Explore the Mood: Bright Floral Journaling Nook,https://sentimentalica.com/blog/img/mood-boosting-junk-journal-ideas/gen2.png,Scrapbooking Inspo,,"Flowers, colored pencils and warm sunlight create a cheerful place for playful pages. Open the article for nine realistic mood-boosting journal ideas.",https://sentimentalica.com/blog/mood-boosting-junk-journal-ideas.html#mood-boosting-junk-journal-ideas-mood,2026-09-19,"bright journal inspiration, floral craft room, scrapbooking inspo, cheerful journal aesthetic, colorful pencils, creative self care"
Use the Map: Generate Junk Journal Ideas,https://sentimentalica.com/blog/img/how-to-generate-junk-journal-ideas/gen1.png,Junk Journal Tutorials,,"Turn any receipt, photo, leaf or ordinary moment into a meaningful page with this seven-step process map. Save the repeatable idea-generation method.",https://sentimentalica.com/blog/how-to-generate-junk-journal-ideas.html#how-to-generate-junk-journal-ideas-guide,2026-09-19,"junk journal idea generator, junk journal process, journal page ideas, creative process map, scrapbook planning, junk journal tutorial"
Find an Idea: Everyday Objects for Journaling,https://sentimentalica.com/blog/img/how-to-generate-junk-journal-ideas/gen2.png,Junk Journal Ideas,,"A receipt, leaf and photograph can each begin a different journal story. Read the article to move from one noticed object to a finished, dated page.",https://sentimentalica.com/blog/how-to-generate-junk-journal-ideas.html#how-to-generate-junk-journal-ideas-mood,2026-09-16,"everyday journal ideas, found object journaling, creative journal inspiration, memory keeping ideas, junk journal prompts, collector desk aesthetic"
