Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Make a Cozy Reading-Night Pocket Page,https://sentimentalica.com/blog/img/a-cozy-reading-night-pocket-page/gen1.png,Junk Journal Tutorials,,Turn one quiet evening at home into a calm pocket page with a tea label a favorite book line and three simple scraps.,https://sentimentalica.com/blog/a-cozy-reading-night-pocket-page.html,2026-09-28,"cozy junk journal, reading journal page, pocket page tutorial, fall memory keeping, simple scrapbook"
7 Fall Scrapbook Mistakes to Avoid,https://sentimentalica.com/blog/img/fall-scrapbook-mistakes-that-make-pages-feel-busy/gen1.png,Journal Mistakes to Avoid,,Keep autumn pages warm and readable by fixing seven common mistakes that hide photographs and real memories.,https://sentimentalica.com/blog/fall-scrapbook-mistakes-that-make-pages-feel-busy.html,2026-09-28,"fall scrapbook mistakes, autumn journal ideas, scrapbook layout tips, memory keeping, busy scrapbook page"
12 Thanksgiving Weekend Details to Save,https://sentimentalica.com/blog/img/things-to-save-from-thanksgiving-weekend/gen1.png,Thanksgiving Journal Ideas,,Use this iPhone Notes checklist to capture small Thanksgiving weekend details before they disappear.,https://sentimentalica.com/blog/things-to-save-from-thanksgiving-weekend.html,2026-09-28,"Thanksgiving journal, holiday memory keeping, iPhone notes ideas, family scrapbook, gratitude journal"
Save This Cranberry and Sage Thanksgiving Palette,https://sentimentalica.com/blog/img/cranberry-sage-pecan-and-linen-for-thanksgiving-pages/gen1.jpg,Color Palettes,,Balance cranberry sage pecan and linen in a Thanksgiving page without letting seasonal color overpower the story.,https://sentimentalica.com/blog/cranberry-sage-pecan-and-linen-for-thanksgiving-pages.html,2026-09-28,"Thanksgiving color palette, cranberry sage palette, fall scrapbook colors, junk journal swatches, holiday pages"
Create a Calm Snow-Day Memory Page,https://sentimentalica.com/blog/img/a-calm-snow-day-memory-page/gen1.png,Junk Journal Tutorials,,Make a quiet snow-day page with one photograph a weather note and a few soft winter textures.,https://sentimentalica.com/blog/a-calm-snow-day-memory-page.html,2026-09-29,"snow day scrapbook, winter journal tutorial, cozy memory keeping, calming craft, simple scrapbook page"
Christmas Scrapbook Mistakes That Hide the Story,https://sentimentalica.com/blog/img/christmas-scrapbook-mistakes-that-hide-the-story/gen1.png,Journal Mistakes to Avoid,,Avoid common Christmas scrapbook mistakes so the people words and small holiday moments stay visible.,https://sentimentalica.com/blog/christmas-scrapbook-mistakes-that-hide-the-story.html,2026-09-29,"Christmas scrapbook mistakes, holiday journal tips, Christmas memory keeping, scrapbook layout, festive pages"
Tiny Christmas Eve Details to Write Down,https://sentimentalica.com/blog/img/tiny-christmas-eve-details-to-write-down/gen1.png,Christmas Junk Journal,,Save the sounds snacks phrases and ordinary Christmas Eve details that photographs often miss.,https://sentimentalica.com/blog/tiny-christmas-eve-details-to-write-down.html,2026-09-29,"Christmas Eve memories, iPhone notes checklist, Christmas journal prompts, holiday scrapbook, family traditions"
Pine Cranberry Gold and Cream Christmas Palette,https://sentimentalica.com/blog/img/pine-cranberry-candle-gold-and-cream-christmas-palette/gen1.jpg,Color Palettes,,Use pine cranberry candle gold and cream for a Christmas page that feels warm rather than crowded.,https://sentimentalica.com/blog/pine-cranberry-candle-gold-and-cream-christmas-palette.html,2026-09-29,"Christmas color palette, pine cranberry palette, holiday scrapbook colors, festive journal, gold and cream"
Make a No-Stress Holiday Photo Pocket,https://sentimentalica.com/blog/img/a-no-stress-holiday-photo-pocket/gen1.png,Journal Pockets and Tucks,,Collect extra holiday photographs in one simple pocket without turning the page into a complicated project.,https://sentimentalica.com/blog/a-no-stress-holiday-photo-pocket.html,2026-09-30,"holiday photo pocket, scrapbook pocket tutorial, Christmas photos, stress free crafting, memory keeping"
Winter Journal Mistakes That Make Pages Feel Cold,https://sentimentalica.com/blog/img/winter-journal-mistakes-that-make-pages-feel-cold/gen1.png,Journal Mistakes to Avoid,,Add warmth and story to winter pages by correcting the layout and color choices that make them feel distant.,https://sentimentalica.com/blog/winter-journal-mistakes-that-make-pages-feel-cold.html,2026-09-30,"winter journal mistakes, cozy scrapbook ideas, winter page layout, junk journal tips, seasonal memory keeping"
Journal Prompts for the Week Between Holidays,https://sentimentalica.com/blog/img/things-to-journal-between-christmas-and-new-year/gen1.png,Creative Journal Prompts,,Capture the quiet in-between week after Christmas with a short practical iPhone Notes prompt list.,https://sentimentalica.com/blog/things-to-journal-between-christmas-and-new-year.html,2026-09-30,"between Christmas and New Year, winter journal prompts, iPhone notes, holiday reflection, memory keeping"
Frost Blue Wool Pine and Berry Cabin Palette,https://sentimentalica.com/blog/img/frost-blue-wool-pine-and-berry-winter-cabin-palette/gen1.jpg,Color Palettes,,Build a balanced winter cabin page with frost blue warm wool evergreen pine and one berry accent.,https://sentimentalica.com/blog/frost-blue-wool-pine-and-berry-winter-cabin-palette.html,2026-09-30,"winter cabin palette, frost blue color palette, pine green scrapbook, cozy journal colors, berry accent"
Create a Gentle New Year Reflection Spread,https://sentimentalica.com/blog/img/a-gentle-new-year-reflection-spread/gen1.png,Junk Journal Tutorials,,Reflect on the year with a simple two-page spread that leaves room for mixed feelings and small wins.,https://sentimentalica.com/blog/a-gentle-new-year-reflection-spread.html,2026-10-01,"New Year journal spread, reflection journal, gentle goal setting, winter scrapbook, memory keeping tutorial"
New Year Journal Mistakes That Add Pressure,https://sentimentalica.com/blog/img/new-year-journal-mistakes-that-add-pressure/gen1.png,Journal Mistakes to Avoid,,Avoid perfectionism forced resolutions and overloaded layouts in a kinder New Year journal page.,https://sentimentalica.com/blog/new-year-journal-mistakes-that-add-pressure.html,2026-10-01,"New Year journal mistakes, gentle journaling, resolution alternatives, scrapbook tips, reflective journal"
Gentle January Prompts for Winter Days,https://sentimentalica.com/blog/img/gentle-january-journal-prompts-for-winter-days/gen1.png,Creative Journal Prompts,,Keep a low-pressure record of January with calm prompts for weather routines comforts and small changes.,https://sentimentalica.com/blog/gentle-january-journal-prompts-for-winter-days.html,2026-10-01,"January journal prompts, winter journaling, iPhone notes ideas, cozy memory keeping, gentle reflection"
Midnight Parchment Moon Gray and Gold Palette,https://sentimentalica.com/blog/img/midnight-parchment-moon-gray-and-gold-new-year-palette/gen1.jpg,Color Palettes,,Use midnight blue parchment moon gray and restrained gold for an elegant New Year journal page.,https://sentimentalica.com/blog/midnight-parchment-moon-gray-and-gold-new-year-palette.html,2026-10-01,"New Year color palette, midnight blue gold, winter scrapbook colors, elegant journal page, parchment palette"
Try This Ten-Minute Winter Collage,https://sentimentalica.com/blog/img/a-ten-minute-winter-collage-for-stressful-days/gen1.png,Junk Journal Tutorials,,Make a calming winter collage in ten minutes using scraps you already own and one easy stopping rule.,https://sentimentalica.com/blog/a-ten-minute-winter-collage-for-stressful-days.html,2026-10-02,"winter collage tutorial, calming craft, stress relief journaling, scrap paper project, simple junk journal"
Valentine Scrapbook Mistakes That Flatten Real Stories,https://sentimentalica.com/blog/img/valentine-scrapbook-mistakes-that-flatten-real-stories/gen1.png,Journal Mistakes to Avoid,,Keep Valentine pages honest and personal by avoiding clichés forced romance and decoration overload.,https://sentimentalica.com/blog/valentine-scrapbook-mistakes-that-flatten-real-stories.html,2026-10-02,"Valentine scrapbook mistakes, meaningful memory keeping, love journal ideas, scrapbook tips, real stories"
Valentine Memories Beyond Romance,https://sentimentalica.com/blog/img/valentine-memories-beyond-romance/gen1.png,Valentine's Junk Journal,,Use this iPhone Notes list to remember friendship family kindness pets and other forms of February love.,https://sentimentalica.com/blog/valentine-memories-beyond-romance.html,2026-10-02,"Valentine journal prompts, friendship scrapbook, family memories, iPhone notes ideas, February journaling"
Dusty Rose Oxblood Cocoa and Ivory Palette,https://sentimentalica.com/blog/img/dusty-rose-oxblood-cocoa-and-ivory-valentine-palette/gen1.jpg,Color Palettes,,Create a mature Valentine page with dusty rose oxblood cocoa and ivory in clear balanced roles.,https://sentimentalica.com/blog/dusty-rose-oxblood-cocoa-and-ivory-valentine-palette.html,2026-10-02,"Valentine color palette, dusty rose oxblood, romantic scrapbook colors, cocoa ivory palette, winter journal"
