Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Save the Guide: Wedding Invitation Keepsake Folio,https://sentimentalica.com/blog/img/how-to-make-a-wedding-invitation-keepsake-folio/gen1.png,Printable Craft Projects,,"Save this five-step wedding invitation keepsake folio guide for protecting the original invitation while adding a gatefold, pocket, paper hinge, and one meaningful finish. Open the tutorial for measurements and construction tips.",https://sentimentalica.com/blog/how-to-make-a-wedding-invitation-keepsake-folio.html#wedding-folio-guide,2026-09-10,"wedding invitation keepsake, wedding scrapbook ideas, keepsake folio tutorial, wedding memory journal, paper craft tutorial, invitation preservation"
See the Project: Handmade Wedding Keepsake Folio,https://sentimentalica.com/blog/img/how-to-make-a-wedding-invitation-keepsake-folio/gen2.png,Vintage Romance Inspiration,,"See how an ivory gatefold folio holds a wedding invitation copy, RSVP card, ribbon, and pressed flowers without gluing the original. Visit the tutorial for the complete beginner-friendly method.",https://sentimentalica.com/blog/how-to-make-a-wedding-invitation-keepsake-folio.html#wedding-folio-project,2026-09-10,"wedding keepsake folio, romantic paper crafts, wedding memory book, invitation scrapbook, pressed flower keepsake, vintage wedding journal"
Get More Inspiration: Romantic Wedding Memory Corner,https://sentimentalica.com/blog/img/how-to-make-a-wedding-invitation-keepsake-folio/gen3.png,Vintage Romance Inspiration,,"A sunlit table with ivory ribbon, handmade paper, white flowers, and a wooden keepsake box sets the mood for preserving wedding memories. Open the article for a practical invitation folio project.",https://sentimentalica.com/blog/how-to-make-a-wedding-invitation-keepsake-folio.html#wedding-keepsake-mood,2026-09-10,"wedding memory ideas, romantic craft room, wedding keepsake inspiration, vintage romance aesthetic, handmade paper crafts, bridal memory box"
Save the Measurements: Accordion Pocket Book Tutorial,https://sentimentalica.com/blog/img/make-a-no-sew-accordion-pocket-book-from-one-strip/gen1.png,Junk Journal Tutorials,,"Save the exact cut, score, fold, and pocket measurements for making a no-sew accordion pocket book from one paper strip. Read the full tutorial for glue placement and the essential breathing gap.",https://sentimentalica.com/blog/make-a-no-sew-accordion-pocket-book-from-one-strip.html#accordion-pocket-guide,2026-09-10,"accordion pocket book, junk journal tutorial, no sew paper book, paper pocket measurements, interactive journal ideas, beginner paper crafts"
See the Finished Idea: Botanical Accordion Pockets,https://sentimentalica.com/blog/img/make-a-no-sew-accordion-pocket-book-from-one-strip/gen2.png,Journal Pockets and Tucks,,This dusty-blue botanical accordion holds four cream journal cards in useful expandable pockets. Open the step-by-step article to make the structure from one strip without sewing.,https://sentimentalica.com/blog/make-a-no-sew-accordion-pocket-book-from-one-strip.html#accordion-pocket-project,2026-09-10,"journal pockets and tucks, accordion journal pockets, botanical junk journal, handmade mini book, journal card holder, interactive paper craft"
Get More Inspiration: Cottage Paper Craft Morning,https://sentimentalica.com/blog/img/make-a-no-sew-accordion-pocket-book-from-one-strip/gen3.png,Beginner Junk Journaling,,"A quiet cottage table with blue botanical papers, cream cards, flowers, and an open garden door makes a gentle place to begin. Visit the tutorial for an easy no-sew accordion pocket book.",https://sentimentalica.com/blog/make-a-no-sew-accordion-pocket-book-from-one-strip.html#accordion-craft-mood,2026-09-10,"beginner junk journaling, cottage craft room, botanical paper craft, slow creative morning, junk journal inspiration, handmade paper projects"
Save the Guide: Handmade Card Mat Border Sizes,https://sentimentalica.com/blog/img/the-card-mat-border-guide-for-clean-handmade-layers/gen1.png,DIY Ideas,,"Compare crisp 1/16-inch, everyday 1/8-inch, bold 1/4-inch, and bottom-weighted card mat borders in one useful guide. Open the tutorial to calculate clean layers before cutting and gluing.",https://sentimentalica.com/blog/the-card-mat-border-guide-for-clean-handmade-layers.html#card-mat-guide,2026-09-11,"card mat border sizes, handmade card tutorial, card layering guide, greeting card measurements, paper crafting tips, clean card design"
See the Examples: Four Balanced Handmade Card Layers,https://sentimentalica.com/blog/img/the-card-mat-border-guide-for-clean-handmade-layers/gen2.png,Printable Craft Projects,,"Compare four botanical cards with hairline, classic, bold, and intentionally bottom-heavy mats. Read the full guide to choose a border by visual effect rather than trimming by guesswork.",https://sentimentalica.com/blog/the-card-mat-border-guide-for-clean-handmade-layers.html#card-mat-examples,2026-09-11,"handmade card layers, botanical greeting cards, card matting ideas, card design inspiration, paper layer measurements, DIY card making"
Get More Inspiration: Peaceful Cardmaking Studio,https://sentimentalica.com/blog/img/the-card-mat-border-guide-for-clean-handmade-layers/gen3.png,DIY Ideas,,"A sunlit cardmaking studio with cream, dusty rose, sage, and slate-blue cardstock offers a calm color story for handmade cards. Open the article for a practical guide to balanced mat borders.",https://sentimentalica.com/blog/the-card-mat-border-guide-for-clean-handmade-layers.html#cardmaking-studio,2026-09-11,"cardmaking studio, handmade card inspiration, paper craft workspace, cardstock color palette, peaceful craft room, DIY greeting cards"
See the Technique: Scrap-Paper Mosaic Border,https://sentimentalica.com/blog/img/make-a-scrap-paper-mosaic-border-for-a-scrapbook-page/gen1.png,Scrapbooking Tips,,"Turn tiny torn paper leftovers into a controlled two-edge mosaic that frames one photograph without crowding the scrapbook page. Open the tutorial for palette, spacing, rhythm, and gluing tips.",https://sentimentalica.com/blog/make-a-scrap-paper-mosaic-border-for-a-scrapbook-page.html#scrap-mosaic-project,2026-09-11,"scrap paper mosaic, scrapbook border ideas, scrapbooking tips, paper scraps project, one photo scrapbook, torn paper collage"
Get More Inspiration: Soft Scrapbook Color Story,https://sentimentalica.com/blog/img/make-a-scrap-paper-mosaic-border-for-a-scrapbook-page/gen2.png,Scrapbooking Inspo,,"Muted blue, faded rose, sage, and old book paper scraps create a soft collected palette for scrapbook pages. Visit the article for a practical mosaic border made from the smallest leftovers.",https://sentimentalica.com/blog/make-a-scrap-paper-mosaic-border-for-a-scrapbook-page.html#scrap-mosaic-mood,2026-09-11,"scrapbooking inspiration, scrap paper palette, vintage collage colors, scrapbook layout ideas, paper scraps craft, soft scrapbook aesthetic"
See the Method: Removable Washi-Tape Tip-In,https://sentimentalica.com/blog/img/add-a-removable-washi-tape-tip-in-to-a-junk-journal/gen1.png,Paper Layering Techniques,,"Add vellum, artwork, or a note to a junk journal with a removable paper guard and washi-tape hinge. Open the tutorial to learn the hinge gap, weight limits, and safe removal method.",https://sentimentalica.com/blog/add-a-removable-washi-tape-tip-in-to-a-junk-journal.html#washi-tip-in-project,2026-09-11,"washi tape tip in, junk journal tip in, paper layering techniques, vellum journal page, removable journal insert, interactive journal tutorial"
Get More Inspiration: Quiet Botanical Journal Desk,https://sentimentalica.com/blog/img/add-a-removable-washi-tape-tip-in-to-a-junk-journal/gen2.png,Junk Journal Ideas,,"A closed leather journal, translucent botanical paper, dusty-blue washi tape, and a green garden window create a calm setting for gentle journal experiments. Open the article for the removable tip-in method.",https://sentimentalica.com/blog/add-a-removable-washi-tape-tip-in-to-a-junk-journal.html#washi-tip-in-mood,2026-09-11,"junk journal ideas, botanical journal inspiration, washi tape journal, quiet creative desk, vintage journal aesthetic, garden journal mood"
