Article slug,Article URL,Media URL,First recorded batch,All batch files,CSV status,CSV provided date,Pinterest upload confirmed,Pinterest uploaded date,Last Pinterest result,Last Pinterest error,Scheduled publish dates,Last updated
100-free-floral-pictures-for-your-junk-journal,https://sentimentalica.com/blog/100-free-floral-pictures-for-your-junk-journal.html,https://sentimentalica.com/blog/img/100-free-floral-pictures-for-your-junk-journal/gen1.jpg,100-free-floral-pictures.csv,100-free-floral-pictures.csv | UPLOAD_THIS_all-other-articles_two-week-schedule.csv,Historical CSV record; handoff status unknown,,No,,,,2026-08-02 | 2026-08-19,2026-08-12
100-free-floral-pictures-for-your-junk-journal,https://sentimentalica.com/blog/100-free-floral-pictures-for-your-junk-journal.html,https://sentimentalica.com/blog/img/100-free-floral-pictures-for-your-junk-journal/page1.jpg,100-free-floral-pictures.csv,100-free-floral-pictures.csv | UPLOAD_THIS_all-other-articles_two-week-schedule.csv,Historical CSV record; handoff status unknown,,No,,,,2026-08-06 | 2026-08-19,2026-08-12
100-free-floral-pictures-for-your-junk-journal,https://sentimentalica.com/blog/100-free-floral-pictures-for-your-junk-journal.html,https://sentimentalica.com/blog/img/100-free-floral-pictures-for-your-junk-journal/page2.jpg,100-free-floral-pictures.csv,100-free-floral-pictures.csv | UPLOAD_THIS_all-other-articles_two-week-schedule.csv,Historical CSV record; handoff status unknown,,No,,,,2026-08-10 | 2026-08-19,2026-08-12
100-free-floral-pictures-for-your-junk-journal,https://sentimentalica.com/blog/100-free-floral-pictures-for-your-junk-journal.html,https://sentimentalica.com/blog/img/100-free-floral-pictures-for-your-junk-journal/page3.jpg,UPLOAD_THIS_all-other-articles_two-week-schedule.csv,UPLOAD_THIS_all-other-articles_two-week-schedule.csv,Historical CSV record; handoff status unknown,,No,,,,2026-08-19,2026-08-12
12-tiny-things-to-keep-for-your-junk-journal,https://sentimentalica.com/blog/12-tiny-things-to-keep-for-your-junk-journal.html,https://sentimentalica.com/blog/img/12-tiny-things-to-keep-for-your-junk-journal/gen1-pinterest.jpg,UPLOAD_NOW_RETRY_14-scheduling-limit_2026-08-11.csv,UPLOAD_NOW_RETRY_14-scheduling-limit_2026-08-11.csv | UPLOAD_RETRY_14-corrected-image-files_2026-08-10.csv,Historical CSV record; handoff status unknown,,No,,,,2026-08-13,2026-08-12
12-tiny-things-to-keep-for-your-junk-journal,https://sentimentalica.com/blog/12-tiny-things-to-keep-for-your-junk-journal.html,https://sentimentalica.com/blog/img/12-tiny-things-to-keep-for-your-junk-journal/gen1.jpg,UPLOAD_THIS_all-other-articles_two-week-schedule.csv,UPLOAD_THIS_all-other-articles_two-week-schedule.csv,Historical CSV record; handoff status unknown,,No,,,,2026-08-13,2026-08-12
12-tiny-things-to-keep-for-your-junk-journal,https://sentimentalica.com/blog/12-tiny-things-to-keep-for-your-junk-journal.html,https://sentimentalica.com/blog/img/12-tiny-things-to-keep-for-your-junk-journal/gen2-pinterest.jpg,UPLOAD_NOW_RETRY_14-scheduling-limit_2026-08-11.csv,UPLOAD_NOW_RETRY_14-scheduling-limit_2026-08-11.csv | UPLOAD_RETRY_14-corrected-image-files_2026-08-10.csv,Historical CSV record; handoff status unknown,,No,,,,2026-08-13,2026-08-12
12-tiny-things-to-keep-for-your-junk-journal,https://sentimentalica.com/blog/12-tiny-things-to-keep-for-your-junk-journal.html,https://sentimentalica.com/blog/img/12-tiny-things-to-keep-for-your-junk-journal/gen2.jpg,UPLOAD_THIS_all-other-articles_two-week-schedule.csv,UPLOAD_THIS_all-other-articles_two-week-schedule.csv,Historical CSV record; handoff status unknown,,No,,,,2026-08-13,2026-08-12
12-tiny-things-to-keep-for-your-junk-journal,https://sentimentalica.com/blog/12-tiny-things-to-keep-for-your-junk-journal.html,https://sentimentalica.com/blog/img/12-tiny-things-to-keep-for-your-junk-journal/gen3-pinterest.jpg,UPLOAD_NOW_RETRY_14-scheduling-limit_2026-08-11.csv,UPLOAD_NOW_RETRY_14-scheduling-limit_2026-08-11.csv | UPLOAD_RETRY_14-corrected-image-files_2026-08-10.csv,Historical CSV record; handoff status unknown,,No,,,,2026-08-13,2026-08-12
12-tiny-things-to-keep-for-your-junk-journal,https://sentimentalica.com/blog/12-tiny-things-to-keep-for-your-junk-journal.html,https://sentimentalica.com/blog/img/12-tiny-things-to-keep-for-your-junk-journal/gen3.jpg,UPLOAD_THIS_all-other-articles_two-week-schedule.csv,UPLOAD_THIS_all-other-articles_two-week-schedule.csv,Historical CSV record; handoff status unknown,,No,,,,2026-08-13,2026-08-12
7-autumn-textures-to-layer-in-a-junk-journal,https://sentimentalica.com/blog/7-autumn-textures-to-layer-in-a-junk-journal.html,https://sentimentalica.com/blog/img/7-autumn-textures-to-layer-in-a-junk-journal/gen1.png,UPLOAD_TODAY_five-seasonal-articles_2026-08-13.csv,UPLOAD_TODAY_five-seasonal-articles_2026-08-13.csv,CSV provided to Ksenia; Pinterest upload not confirmed,2026-08-13,No,,,,2026-08-13,2026-08-13
7-autumn-textures-to-layer-in-a-junk-journal,https://sentimentalica.com/blog/7-autumn-textures-to-layer-in-a-junk-journal.html,https://sentimentalica.com/blog/img/7-autumn-textures-to-layer-in-a-junk-journal/gen2.png,UPLOAD_TODAY_five-seasonal-articles_2026-08-13.csv,UPLOAD_TODAY_five-seasonal-articles_2026-08-13.csv,CSV provided to Ksenia; Pinterest upload not confirmed,2026-08-13,No,,,,2026-08-13,2026-08-13
a-cottagecore-journal-page-built-from-one-ordinary-morning,https://sentimentalica.com/blog/a-cottagecore-journal-page-built-from-one-ordinary-morning.html,https://sentimentalica.com/blog/img/a-cottagecore-journal-page-built-from-one-ordinary-morning/gen1.png,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,Pinterest upload confirmed by Ksenia,2026-08-12,Yes,2026-08-12,Accepted,,2026-08-16,2026-08-12
a-cottagecore-journal-page-built-from-one-ordinary-morning,https://sentimentalica.com/blog/a-cottagecore-journal-page-built-from-one-ordinary-morning.html,https://sentimentalica.com/blog/img/a-cottagecore-journal-page-built-from-one-ordinary-morning/gen2.png,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,UPLOAD_RETRY_ONLY_38-duplicate-titles-fixed_2026-08-12.csv | UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,CSV provided to Ksenia; Pinterest upload not confirmed,2026-08-12,No,,Rejected,Multiples rows with the same title,2026-08-14,2026-08-12
a-cottagecore-journal-page-built-from-one-ordinary-morning,https://sentimentalica.com/blog/a-cottagecore-journal-page-built-from-one-ordinary-morning.html,https://sentimentalica.com/blog/img/a-cottagecore-journal-page-built-from-one-ordinary-morning/gen3.png,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,Pinterest upload confirmed by Ksenia,2026-08-12,Yes,2026-08-12,Accepted,,2026-08-12,2026-08-12
a-cottagecore-journal-page-built-from-one-ordinary-morning,https://sentimentalica.com/blog/a-cottagecore-journal-page-built-from-one-ordinary-morning.html,https://sentimentalica.com/blog/img/a-cottagecore-journal-page-built-from-one-ordinary-morning/lavender-letter-page.jpg,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,UPLOAD_RETRY_ONLY_38-duplicate-titles-fixed_2026-08-12.csv | UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,CSV provided to Ksenia; Pinterest upload not confirmed,2026-08-12,No,,Rejected,Multiples rows with the same title,2026-08-13,2026-08-12
a-cottagecore-journal-page-built-from-one-ordinary-morning,https://sentimentalica.com/blog/a-cottagecore-journal-page-built-from-one-ordinary-morning.html,https://sentimentalica.com/blog/img/a-cottagecore-journal-page-built-from-one-ordinary-morning/lavender-tags-page.jpg,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,UPLOAD_RETRY_ONLY_38-duplicate-titles-fixed_2026-08-12.csv | UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,CSV provided to Ksenia; Pinterest upload not confirmed,2026-08-12,No,,Rejected,Multiples rows with the same title,2026-08-14,2026-08-12
a-cottagecore-journal-page-built-from-one-ordinary-morning,https://sentimentalica.com/blog/a-cottagecore-journal-page-built-from-one-ordinary-morning.html,https://sentimentalica.com/blog/img/a-cottagecore-journal-page-built-from-one-ordinary-morning/lavender-wreath-page.jpg,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,Pinterest upload confirmed by Ksenia,2026-08-12,Yes,2026-08-12,Accepted,,2026-08-16,2026-08-12
a-cottagecore-journal-page-built-from-one-ordinary-morning,https://sentimentalica.com/blog/a-cottagecore-journal-page-built-from-one-ordinary-morning.html,https://sentimentalica.com/blog/img/a-cottagecore-journal-page-built-from-one-ordinary-morning/palette-bottles-and-bloom.jpg,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,UPLOAD_RETRY_ONLY_38-duplicate-titles-fixed_2026-08-12.csv | UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,CSV provided to Ksenia; Pinterest upload not confirmed,2026-08-12,No,,Rejected,Multiples rows with the same title,2026-08-15,2026-08-12
