Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Save the Guide: Combine Cozy Autumn Pictures,https://sentimentalica.com/blog/img/how-to-combine-cozy-autumn-printables/infographic.png,Junk Journal Tutorials,,"Save this visual focal, support and texture formula for combining cottage pictures without crowding the page. The article includes three Cozy Autumn palette cards and a five move layout method.",https://sentimentalica.com/blog/how-to-combine-cozy-autumn-printables.html#cozy-combination-guide,2026-09-12,"cozy autumn journal, autumn printable ideas, junk journal tutorial, cottage collage, paper layering, fall color palette"
Explore the Mood: Cozy Autumn Journal Inspiration,https://sentimentalica.com/blog/img/how-to-combine-cozy-autumn-printables/atmosphere.png,Autumn Junk Journal Ideas,,"Rust ribbon, moss linen, cream paper and walnut wood create a warm rainy day journal mood. Open the article for the picture combination formula and three coordinated palettes.",https://sentimentalica.com/blog/how-to-combine-cozy-autumn-printables.html#cozy-autumn-inspiration,2026-09-13,"autumn junk journal ideas, cozy craft room, fall journal inspiration, rust and moss palette, cottagecore journal, rainy day crafts"
Build the Collage: Autumn Woodland Layering Guide,https://sentimentalica.com/blog/img/foxglove-hollow-autumn-woodland-collage/infographic.png,Paper Layering Techniques,,"Combine one botanical focal, one woodland character and one quiet texture in a balanced triangle. Save the illustrated method and visit the article for three plum and moss palettes.",https://sentimentalica.com/blog/foxglove-hollow-autumn-woodland-collage.html#woodland-collage-guide,2026-09-12,"woodland collage, paper layering techniques, foxglove journal, botanical scrapbook, autumn journal layout, junk journal layers"
Get More Inspiration: Foxglove Woodland Journal,https://sentimentalica.com/blog/img/foxglove-hollow-autumn-woodland-collage/atmosphere.png,Woodland Junk Journal,,"Foxglove purple, moss, bark and aged paper turn an open journal into a quiet woodland story. Read the article for the triangle layout and listing derived palette ideas.",https://sentimentalica.com/blog/foxglove-hollow-autumn-woodland-collage.html#foxglove-woodland-inspiration,2026-09-14,"woodland junk journal, foxglove inspiration, botanical journal page, moss color palette, forest collage, autumn scrapbook ideas"
Save the Formula: Balanced Sunflower Journal Pages,https://sentimentalica.com/blog/img/sunflower-pages-for-the-turn-into-autumn/infographic.png,Scrapbooking Tips,,"Use the 60 30 10 formula to balance one bold sunflower, a supporting seed packet and quiet vintage texture. The full article includes three honey, olive, cream and umber palettes.",https://sentimentalica.com/blog/sunflower-pages-for-the-turn-into-autumn.html#sunflower-balance-guide,2026-09-13,"sunflower journal page, scrapbook layout formula, autumn scrapbook, honey olive palette, botanical collage, scrapbooking tips"
Explore the Mood: Sunflowers Turning into Autumn,https://sentimentalica.com/blog/img/sunflower-pages-for-the-turn-into-autumn/atmosphere.png,Autumn Junk Journal Ideas,,"Dried sunflower gold, olive linen and weathered cream paper create the perfect bridge from late summer into autumn. Open the article for layout advice and three seasonal palettes.",https://sentimentalica.com/blog/sunflower-pages-for-the-turn-into-autumn.html#sunflower-autumn-inspiration,2026-09-14,"autumn sunflower aesthetic, sunflower journal ideas, fall scrapbook inspiration, honey gold palette, botanical paper crafts, seasonal journal"
Create More Depth: Moon Forest Picture Guide,https://sentimentalica.com/blog/img/moon-forest-autumn-pages-with-depth/infographic.png,Junk Journal Layout Ideas,,"Layer moonlight, a middle distance forest and a dark foreground to make nocturnal pages feel deep instead of muddy. Save the visual guide and explore three Moon Forest palettes.",https://sentimentalica.com/blog/moon-forest-autumn-pages-with-depth.html#moon-forest-depth-guide,2026-09-12,"moon forest journal, dark journal layout, junk journal layout ideas, autumn forest collage, moon color palette, layered paper art"
Explore the Mood: Moonlit Autumn Forest Journal,https://sentimentalica.com/blog/img/moon-forest-autumn-pages-with-depth/atmosphere.png,Forest Journal Inspiration,,"A candle, moonlit window, pine sprigs and midnight paper set the mood for a quiet autumn forest journal. Read the article for light, middle and dark layering advice.",https://sentimentalica.com/blog/moon-forest-autumn-pages-with-depth.html#moon-forest-inspiration,2026-09-13,"forest journal inspiration, moonlit autumn aesthetic, dark botanical journal, candlelit craft room, midnight blue palette, fall night journal"
Build the Glow: Candlelit Autumn Collage Guide,https://sentimentalica.com/blog/img/firefly-glow-candlelit-autumn-collage/infographic.png,Vintage Collage Ideas,,"Build a luminous collage with one glow image, one story layer and one quiet shadow. Save the visual recipe and visit the article for three vellum, amber, leather and navy palettes.",https://sentimentalica.com/blog/firefly-glow-candlelit-autumn-collage.html#candlelit-collage-guide,2026-09-14,"candlelit collage, dark academia journal, vintage collage ideas, autumn scrapbook, amber navy palette, junk journal layers"
Get More Inspiration: Firefly Glow Autumn Desk,https://sentimentalica.com/blog/img/firefly-glow-candlelit-autumn-collage/atmosphere.png,Antique Library Inspiration,,"Old books, candlelight, vellum and celestial navy create a warm dark academia autumn workspace. Open the article for a practical glow, story and shadow composition method.",https://sentimentalica.com/blog/firefly-glow-candlelit-autumn-collage.html#firefly-glow-inspiration,2026-09-12,"antique library inspiration, candlelit autumn aesthetic, dark academia crafts, firefly journal, celestial collage, cozy reading journal"
