Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Save: Cozy autumn color palette formula,https://sentimentalica.com/blog/img/cozy-autumn-color-palette-for-journal-pages/palette-guide.png,Vintage Color Palettes,,"Use this cozy autumn color palette formula to balance warm cream, rust, olive and dusty blue. Open the article for three palettes sampled from real printable pages.",https://sentimentalica.com/blog/cozy-autumn-color-palette-for-journal-pages.html#palette-formula,2026-08-29,"cozy autumn palette, vintage color palette, junk journal colors, fall paper crafts, autumn journal ideas, color palette guide"
Explore: Autumn doorway color palette,https://sentimentalica.com/blog/img/cozy-autumn-color-palette-for-journal-pages/palette-doorway.jpg,Color Palettes,,"Explore four colors sampled from a warm autumn doorway printable. Read the article to see how the cream, rust and earthy shades work in a journal spread.",https://sentimentalica.com/blog/cozy-autumn-color-palette-for-journal-pages.html#doorway-palette,2026-08-29,"autumn color palette, fall color inspiration, warm neutral palette, printable paper colors, junk journal palette, cottagecore colors"
Discover: Cozy porch fall color palette,https://sentimentalica.com/blog/img/cozy-autumn-color-palette-for-journal-pages/palette-porch.jpg,Color Palettes,,Discover a cozy porch palette taken directly from printable autumn artwork. Open the guide for practical ways to repeat these shades in paper layers and accents.,https://sentimentalica.com/blog/cozy-autumn-color-palette-for-journal-pages.html#porch-palette,2026-08-29,"fall porch palette, cozy color palette, autumn scrapbook colors, vintage fall colors, journal color ideas, printable palette"
Use: Autumn cottage journal palette,https://sentimentalica.com/blog/img/cozy-autumn-color-palette-for-journal-pages/palette-cottage.jpg,Vintage Color Palettes,,Use this four-color cottage palette to plan a warm vintage journal page. See the complete article for a simple 60 25 10 5 color balance.,https://sentimentalica.com/blog/cozy-autumn-color-palette-for-journal-pages.html#cottage-palette,2026-08-29,"autumn cottage palette, vintage color inspiration, fall journal palette, cozy season colors, scrapbook color scheme, paper craft palette"
Create: Cozy autumn cottage journal page,https://sentimentalica.com/blog/img/cozy-autumn-color-palette-for-journal-pages/cozy-120.jpg,Autumn Junk Journal Ideas,,Create a warm autumn spread around this orange cottage doorway. Open the article for exact palette cards and an easy method for choosing coordinating paper accents.,https://sentimentalica.com/blog/cozy-autumn-color-palette-for-journal-pages.html#cozy-doorway,2026-08-29,"autumn junk journal, cottagecore journal page, fall printable paper, cozy autumn crafts, vintage cottage art, journal page inspiration"
Try: First cool evening journal prompt,https://sentimentalica.com/blog/img/an-autumn-memory-page-from-the-first-cool-evening/autumn-guide.png,Autumn Junk Journal Ideas,,"Try this five-detail memory page for the first evening that feels like autumn. Open the article for sensory prompts, paper traces and a gentle layering plan.",https://sentimentalica.com/blog/an-autumn-memory-page-from-the-first-cool-evening.html#autumn-memory-guide,2026-08-30,"autumn journal prompt, fall memory keeping, junk journal ideas, seasonal journaling, autumn scrapbook, sensory journal prompt"
Save: Warm autumn cottage journal inspiration,https://sentimentalica.com/blog/img/an-autumn-memory-page-from-the-first-cool-evening/cozy-180.jpg,Autumn Junk Journal Ideas,,"Save this warm cottage scene for a quiet autumn memory page. Read the article to turn one cool evening into a layered spread using weather, sound and one honest sentence.",https://sentimentalica.com/blog/an-autumn-memory-page-from-the-first-cool-evening.html#autumn-cottage,2026-08-30,"autumn journal inspiration, cozy cottage art, fall junk journal, seasonal memory page, warm autumn printable, cottagecore journaling"
Make: Spooky secret letter pocket tutorial,https://sentimentalica.com/blog/img/spooky-secret-letter-pocket-for-a-junk-journal/spooky-guide.png,Halloween Scrapbooking,,"Make a dark romantic secret-letter pocket with a vellum window, hidden note and thread closure. Open the full tutorial for measurements, materials and finishing ideas.",https://sentimentalica.com/blog/spooky-secret-letter-pocket-for-a-junk-journal.html#secret-pocket-guide,2026-08-30,"Halloween junk journal, spooky paper craft, secret pocket tutorial, gothic journal idea, Halloween scrapbooking, vellum pocket"
Explore: Gothic library journal inspiration,https://sentimentalica.com/blog/img/spooky-secret-letter-pocket-for-a-junk-journal/raven-245.jpg,Halloween Scrapbooking,,Explore a candlelit Gothic library in raven black and faded rose. Open the tutorial to use this atmosphere in a functional hidden-letter pocket.,https://sentimentalica.com/blog/spooky-secret-letter-pocket-for-a-junk-journal.html#gothic-library,2026-08-30,"gothic journal inspiration, dark academia printable, spooky scrapbook paper, raven rose art, Halloween journal page, gothic library aesthetic"
Discover: Raven rose spooky journal page,https://sentimentalica.com/blog/img/spooky-secret-letter-pocket-for-a-junk-journal/raven-115.jpg,Halloween Scrapbooking,,Discover a stained-glass and candle scene for dark romantic journaling. Read the article for a five-step pocket project that keeps the artwork dramatic and useful.,https://sentimentalica.com/blog/spooky-secret-letter-pocket-for-a-junk-journal.html#raven-rose-window,2026-08-30,"raven rose journal, spooky journal inspiration, gothic stained glass, Halloween paper crafts, dark romantic art, junk journal pocket"
Learn: Keep busy backgrounds readable,https://sentimentalica.com/blog/img/how-to-use-busy-backgrounds-without-losing-the-message/tips-guide.png,Scrapbooking Tips,,"Learn five ways to place clear text over decorative paper without hiding the pattern. Open the article for mats, cropping, labels, accent colors and spacing tips.",https://sentimentalica.com/blog/how-to-use-busy-backgrounds-without-losing-the-message.html#background-tips-guide,2026-08-31,"scrapbooking tips, decorative paper tips, card making design, readable card text, paper layering ideas, scrapbook composition"
Use: Quiet floral background for clear text,https://sentimentalica.com/blog/img/how-to-use-busy-backgrounds-without-losing-the-message/old-096.jpg,Scrapbooking Tips,,Use this neutral floral background as an example of preserving pattern while leaving room for words. Read the guide for five practical readability fixes.,https://sentimentalica.com/blog/how-to-use-busy-backgrounds-without-losing-the-message.html#quiet-floral-background,2026-08-31,"floral paper background, scrapbook layout tips, printable background paper, card text placement, vintage paper crafts, clear message design"
Make: One handmade card for any occasion,https://sentimentalica.com/blog/img/one-handmade-card-recipe-for-any-occasion/card-guide.png,Printable Craft Projects,,"Make birthdays, thank-yous, weddings and Christmas cards from one reliable five-step recipe. Open the tutorial for the adaptable construction and supply list.",https://sentimentalica.com/blog/one-handmade-card-recipe-for-any-occasion.html#card-recipe-guide,2026-08-31,"handmade card tutorial, card making ideas, printable card project, birthday card craft, wedding card DIY, Christmas card making"
Create: Vintage floral greeting card background,https://sentimentalica.com/blog/img/one-handmade-card-recipe-for-any-occasion/old-143.jpg,Printable Craft Projects,,Create an elegant greeting card with a softly aged floral background and a quiet message panel. Read the tutorial to adapt the same layout to four occasions.,https://sentimentalica.com/blog/one-handmade-card-recipe-for-any-occasion.html#floral-card-background,2026-08-31,"vintage floral card, printable card background, handmade greeting card, paper craft tutorial, old paper printable, card making inspiration"
Try: Neutral printable card background,https://sentimentalica.com/blog/img/one-handmade-card-recipe-for-any-occasion/old-096.jpg,Printable Craft Projects,,"Try this neutral botanical background for an adaptable handmade card. Open the article for the five-step recipe, focal-cluster tips and occasion variations.",https://sentimentalica.com/blog/one-handmade-card-recipe-for-any-occasion.html#neutral-card-background,2026-08-31,"printable card background, neutral botanical paper, handmade card ideas, vintage paper craft, greeting card tutorial, card layout inspiration"
