Batch file,Row count,Article count,First publish date,Last publish date,Handoff status,CSV provided date,Pinterest upload confirmed date,Pinterest accepted rows,Pinterest rejected rows,Pinterest report,Durable archive,Last updated,Notes
011_Lavender_Dusk.csv,2,1,2026-08-24,2026-08-27,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
026_Silver_Vow.csv,3,2,2026-07-12,2026-07-14,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
032_Pastel_Dusk.csv,2,1,2026-08-12,2026-08-15,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
035_Silk_Promise.csv,7,2,2026-08-06,2026-09-11,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
096_Primrose_Dell.csv,2,1,2026-08-18,2026-08-21,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
100-free-floral-pictures.csv,3,1,2026-08-02,2026-08-10,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
101_Whisker_Bloom.csv,7,1,2026-08-06,2026-08-24,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
114_Wild_Colors.csv,3,1,2026-07-22,2026-07-24,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
116_Silk_Road.csv,2,2,,,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
117_Morning_Brew.csv,5,2,2026-07-28,2026-08-03,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
121_Blossom_Lane.csv,2,2,,,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
149_Sunflower_Days.csv,2,2,2026-07-30,2026-07-30,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
158_Farm_Friends.csv,1,1,,,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
179_Coral_Dance.csv,3,1,,,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
180_Firefly_Glow.csv,1,1,,,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
198_Garden_Joy.csv,4,2,2026-07-25,2026-07-29,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
202_Ledger_Textile.csv,3,1,,,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
206_Cottage_Bloom.csv,3,1,,,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
207_Trail_Maps.csv,2,2,,,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
208_Forest_Books.csv,1,1,,,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
213_Boho_Bloom.csv,1,1,,,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
Dragon_Fire.csv,4,1,2026-08-08,2026-08-23,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
Nouveau_Goddess.csv,4,1,2026-08-06,2026-08-21,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
UPLOAD_NOW_RETRY_14-scheduling-limit_2026-08-11.csv,14,7,,,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
UPLOAD_RETRY_14-corrected-image-files_2026-08-10.csv,14,7,2026-08-11,2026-08-21,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
UPLOAD_RETRY_ONLY_38-duplicate-titles-fixed_2026-08-12.csv,38,20,2026-08-12,2026-08-16,CSV provided to Ksenia; Pinterest upload not confirmed,2026-08-12,,,,,data/pinterest/batches/UPLOAD_RETRY_ONLY_38-duplicate-titles-fixed_2026-08-12.csv,2026-08-12,Retry contains only 38 rows Pinterest rejected for duplicate titles; titles corrected; original five-day publish dates retained.
UPLOAD_THIS_all-other-articles_two-week-schedule.csv,192,35,2026-08-10,2026-08-24,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,189,25,2026-08-12,2026-08-16,"Partial Pinterest result: 151 accepted, 38 rejected",2026-08-12,2026-08-12,151,38,data/pinterest/reports/UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12__pinterest-report_2026-08-12.csv,data/pinterest/batches/UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,2026-08-12,Multiples rows with the same title
UPLOAD_THIS_three-new-journal-guides.csv,9,3,2026-08-11,2026-08-12,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
UPLOAD_THIS_wedding-retry-and-romantic-evening.csv,11,2,,,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
_lead_magnets.csv,16,5,2026-07-16,2026-08-17,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
a-wedding-junk-journal-theme-in-silver-cream-and-candlelight.csv,5,1,,,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
lead_future_self.csv,2,1,2026-08-07,2026-08-12,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
lead_new_moon.csv,2,1,2026-08-09,2026-08-14,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
lead_wedding_prompts.csv,2,1,2026-08-05,2026-08-10,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
ordinary-day-memory-keeping.csv,2,1,2026-08-01,2026-08-05,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
romantic-junk-journal-ideas-for-a-quiet-evening.csv,7,1,,,Historical CSV record; handoff status unknown,,,,,,,2026-08-12,
