Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
See the Full Method: Ten Minute Journal Warm Up Infographic,https://sentimentalica.com/blog/img/a-ten-minute-journal-warm-up-for-creative-block/gen1.png,Creative Journal Prompts,,"Save this useful ten minute journal warm up infographic guide, then open the article for the complete method, practical placement advice, and beginner-friendly steps.",https://sentimentalica.com/blog/a-ten-minute-journal-warm-up-for-creative-block.html#pin-gen1,2026-09-28,"ten minute journal warm up infographic, ten minute journal warm up, creative journal prompts, junk journal ideas, printable journal inspiration, paper craft ideas, scrapbooking inspiration"
See the Full Method: Paper Scrap Storage Infographic,https://sentimentalica.com/blog/img/a-visible-paper-storage-system-for-scraps-you-actually-use/gen1.png,Craft Paper Storage Ideas,,"Save this useful paper scrap storage infographic guide, then open the article for the complete method, practical placement advice, and beginner-friendly steps.",https://sentimentalica.com/blog/a-visible-paper-storage-system-for-scraps-you-actually-use.html#pin-gen1,2026-09-29,"paper scrap storage infographic, paper scrap storage, craft paper storage ideas, junk journal ideas, printable journal inspiration, paper craft ideas, scrapbooking inspiration"
Build the Glow: Candlelit Autumn Collage Guide,https://sentimentalica.com/blog/img/firefly-glow-candlelit-autumn-collage/infographic.png,Vintage Collage Ideas,,"Build a luminous collage with one glow image, one story layer and one quiet shadow. Save the visual recipe and visit the article for three vellum, amber, leather and navy palettes.",https://sentimentalica.com/blog/firefly-glow-candlelit-autumn-collage.html#candlelit-collage-guide,2026-09-30,"candlelit collage, dark academia journal, vintage collage ideas, autumn scrapbook, amber navy palette, junk journal layers"
See More Ideas: Moonlit Halloween Color Mood,https://sentimentalica.com/blog/img/five-halloween-color-palettes-from-real-printable-collections/atmospheric.png,Mystical Scrapbooking,,Explore a moonlit woodland mood in navy moss parchment and muted gold before choosing one of five listing-based Halloween palettes in the complete article.,https://sentimentalica.com/blog/five-halloween-color-palettes-from-real-printable-collections.html#moonlit-color-mood,2026-10-01,"moonlit woodland palette, mystical scrapbook inspiration, Halloween color mood, navy moss gold, celestial journal ideas, dark forest aesthetic"
Build the Collage: Autumn Woodland Layering Guide,https://sentimentalica.com/blog/img/foxglove-hollow-autumn-woodland-collage/infographic.png,Paper Layering Techniques,,"Combine one botanical focal, one woodland character and one quiet texture in a balanced triangle. Save the illustrated method and visit the article for three plum and moss palettes.",https://sentimentalica.com/blog/foxglove-hollow-autumn-woodland-collage.html#woodland-collage-guide,2026-10-02,"woodland collage, paper layering techniques, foxglove journal, botanical scrapbook, autumn journal layout, junk journal layers"
See More Ideas: Grungy Distressed Distressed Vintage Journal Inspiration,https://sentimentalica.com/blog/img/grungy-distressed-palettes-for-strong-vintage-layers/gen1.png,Paper Distressing Ideas,,Use this Grungy Distressed distressed vintage journal inspiration scene to shape your next paper project. Visit the article for the practical ideas and visual guidance behind the mood.,https://sentimentalica.com/blog/grungy-distressed-palettes-for-strong-vintage-layers.html#pin-gen1,2026-09-28,"grungy distressed distressed vintage journal inspiration, distressed vintage journal, paper distressing ideas, junk journal ideas, printable journal inspiration, paper craft ideas, scrapbooking inspiration"
Save These Ideas: Halloween Junk Journal Notes,https://sentimentalica.com/blog/img/halloween-junk-journal-ideas-to-save-before-october/halloween-notes.png,Halloween Scrapbooking,,Save this Halloween junk journal checklist for moon pockets hidden stories dark autumn leaves and layered vintage paper. Open the article for practical ways to use every idea.,https://sentimentalica.com/blog/halloween-junk-journal-ideas-to-save-before-october.html#halloween-notes,2026-09-29,"Halloween junk journal ideas, Halloween journal checklist, spooky journal inspiration, October paper crafts, vintage Halloween collage, junk journal prompts"
Save These Tips: Halloween Journal Pockets,https://sentimentalica.com/blog/img/halloween-junk-journal-tips-for-dark-layered-pages/halloween-pockets.png,Junk Journal Tutorials,,Save these five Halloween journal pocket concepts for unfinished spells midnight seeds overheard lines fortunes and haunted-house stories. Read the article for layering tips.,https://sentimentalica.com/blog/halloween-junk-journal-tips-for-dark-layered-pages.html#halloween-pockets,2026-09-30,"Halloween journal pockets, junk journal tutorial, spooky pocket ideas, interactive journal page, gothic paper crafts, Halloween scrapbooking"
See the Full Method: Halloween Scrapbook Layout Formula,https://sentimentalica.com/blog/img/halloween-scrapbooking-ideas-without-cartoon-clutter/layout-formula.png,Halloween Scrapbooking,,Save this five-layer Halloween scrapbook formula for balancing one photo story paper texture a seasonal clue and dark contrast without cartoon clutter.,https://sentimentalica.com/blog/halloween-scrapbooking-ideas-without-cartoon-clutter.html#layout-formula,2026-10-01,"Halloween scrapbook layout, scrapbook formula infographic, Halloween paper crafts, gothic scrapbooking, vintage Halloween collage, scrapbook composition tips"
Get More Inspiration: Thanksgiving Gratitude Journal Page That Is Honest,https://sentimentalica.com/blog/img/honest-thanksgiving-gratitude-journal-page/gen1.png,Junk Journal Ideas,,"Save this five-step visual guide to an honest gratitude journal page for creative inspiration. Open the article for the complete idea, practical composition advice and more ways to make the theme feel personal.",https://sentimentalica.com/blog/honest-thanksgiving-gratitude-journal-page.html#pin-gen1,2026-10-02,"thanksgiving gratitude journal page that is honest, junk journal ideas, journal page inspiration, paper craft ideas, scrapbook inspiration, creative journaling"
